区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,小时内最高本站气压,小时内最高本站气压出现时间,小时内最低本站气压,小时内最低本站气压出现时间,3小时变压,24小时变压,气温,气温,气温,气温,气温,24小时变温,气温,气温,露点温度,水汽压,相对湿度,相对湿度,相对湿度,总云量,低云量,低云或中云的云量,低云或中云的云高,云状1,云状2,云状3,云状4,云状5,云状6,云状7,云状8,低云状,中云状,高云状,水平能见度（人工）,1分钟平均水平能见度,10分钟平均水平能见度,最小水平能见度,最小水平能见度出现时间,降水量,过去3小时降水量,过去6小时降水量,过去12小时降水量,过去24小时降水量,人工加密观测降水量,人工加密观测降水量描述时间周期,现在天气,过去天气1,过去天气2,过去天气描述时间周期,天气现象,小时蒸发量,积雪深度,雪压,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,瞬时风向,瞬时风速,小时内最大风速的风向,小时内最大风速,小时内最大风速出现时间,小时内极大风速的风向,小时内极大风速,小时内极大风速出现时间,过去6小时极大瞬时风向,过去6小时极大瞬时风速,过去12小时极大瞬时风向,过去12小时极大瞬时风速,地面温度,小时内最高地面温度,小时内最高地面温度出现时间,小时内最低地面温度,小时内最低地面温度出现时间,过去12小时最低地面温度,5cm地温,10cm地温,15cm地温,20cm地温,40cm地温,80cm地温,160cm地温,320cm地温,冻土第1冻结层上限值,冻土第1冻结层下限值,冻土第2冻结层上限值,冻土第2冻结层下限值,草面（雪面）温度,小时内草面（雪面）最高温度,小时内草面（雪面）最高温度出现时间,小时内草面（雪面）最低温度,小时内草面（雪面）最低温度出现时间,地面状态,龙卷距测站距离编码,龙卷所在方位,电线积冰直径,最大冰雹的最大直径
53578/朔州,小时数据,2019-12-31 22,2019-12-31 21:58:44,000,897.5,1038.9,897.5,2118,897.2,2101,0.1,-10.0,-15.5,-14.9,2101,-15.6,2146,4.8,-6.0,-25.1,-24.5,0.8,46,42,2101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9000,8697,9075,8617,2101,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,.,-,-,-,324,0.8,313,0.7,326,1.1,14,1.1,2135,20,1.4,2134,125,2.9,159,4.3,-17.7,-16.9,2101,-17.7,2136,-17.7,-13.2,-10.6,-8.6,-7.4,-4.8,0.1,5.0,9.9,-,-,-,-,-19.3,-17.9,2101,-19.3,2153,-,-,-,-,-
53578/朔州,小时数据,2019-12-31 21,2019-12-31 20:58:47,000,897.2,1039.9,897.4,2001,897.1,2020,-0.6,-10.3,-14.9,-14.2,2033,-14.9,2053,4.1,-6.0,-25.1,-25.0,0.8,42,41,2035,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8600,8355,8681,8203,2011,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,.,-,-,-,309,0.7,325,0.8,300,0.7,12,1.5,2027,20,2.1,2024,125,2.9,159,4.3,-16.9,-16.7,2001,-17.1,2026,-21.5,-12.5,-9.9,-8.0,-6.9,-4.8,0.1,5.0,9.9,-,-,-,-,-17.8,-17.6,2055,-18.9,2018,-,-,-,-,-
53578/朔州,小时数据,2019-12-31 20,2019-12-31 20:02:48,000,897.4,1041.2,897.4,1901,897.2,1944,-0.3,-10.2,-14.3,-12.6,1901,-14.3,1953,3.5,-6.0,-25.1,-24.2,0.9,43,34,1921,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,9800,10072,9863,9863,2000,0.0,0.0,0.0,0.0,0.0,-,-,0,0,0,360,"(03,02,)03,02,05,.",-,0,-,351,1.4,345,1.2,351,1.5,335,1.2,1950,334,1.5,1946,153,3.7,159,4.3,-16.7,-15.4,1901,-16.7,2000,-27.7,-11.6,-8.9,-7.2,-6.3,-4.8,0.1,5.0,9.9,-,-,-,-,-18.6,-16.9,1919,-18.7,1953,-,-,-,-,-
53578/朔州,小时数据,2019-12-31 19,2019-12-31 18:58:44,000,897.4,1040.7,897.8,1801,897.4,1844,-0.1,-10.2,-12.6,-9.4,1801,-12.6,1859,3.0,-6.0,-25.1,-24.3,0.9,37,20,1801,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12000,17315,18023,8570,1813,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,"(03,02,)03,02,05,.",-,-,-,357,0.5,13,0.5,340,0.5,131,1.1,1801,96,1.4,1812,159,4.3,159,4.3,-15.4,-13.0,1801,-15.4,1858,-28.4,-10.2,-7.6,-6.3,-5.8,-4.9,0.1,5.0,9.9,-,-,-,-,-17.7,-13.3,1801,-17.7,1900,-,-,-,-,-
53578/朔州,小时数据,2019-12-31 18,2019-12-31 17:58:49,000,897.8,1039.8,897.8,1800,897.6,1715,0.1,-9.5,-9.4,-7.8,1701,-9.4,1753,5.0,-6.0,-25.1,-28.2,0.6,20,17,1701,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9100,10956,9808,9106,1754,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,"(03,02,)03,02,05,.",-,-,-,119,1.3,132,1.0,128,1.4,100,1.4,1701,102,2.3,1701,159,4.3,159,4.3,-12.9,-8.4,1701,-13.1,1753,-28.4,-8.2,-6.0,-5.4,-5.3,-4.9,0.1,5.0,10.0,-,-,-,-,-12.9,-8.5,1701,-14.8,1749,-,-,-,-,-
53578/朔州,小时数据,2019-12-31 17,2019-12-31 17:02:42,000,897.7,1039.3,897.7,1650,897.5,1601,-0.7,-9.2,-7.8,-6.5,1601,-7.8,1658,5.1,-6.0,-25.1,-28.6,0.6,17,15,1601,3,-,-,6000,-,-,-,-,-,-,-,-,-,-,-,16600,13361,16679,16679,1700,0.0,0.0,0.0,0.0,0.0,-,-,0,0,0,180,"(03,02,)03,02,05,.",-,-,-,90,1.4,101,1.3,88,1.9,110,1.7,1601,125,2.9,1612,159,4.3,159,4.3,-8.3,-1.7,1601,-8.3,1700,-28.4,-5.2,-4.4,-4.7,-5.3,-5.0,0.1,5.0,10.0,-,-,-,-,-8.3,-4.3,1601,-8.4,1658,-,-,-,-,-
53578/朔州,小时数据,2019-12-31 16,2019-12-31 15:58:46,000,897.5,1038.5,897.8,1508,897.5,1536,-2.1,-9.2,-6.5,-6.0,1514,-6.6,1558,5.2,-6.0,-25.1,-28.9,0.6,15,14,1501,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20100,19323,20156,20129,1512,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,"(03,02,)03,02,05,.",-,-,-,108,2.0,108,1.7,99,2.3,119,1.8,1501,99,2.9,1504,159,4.3,159,4.3,-1.3,3.5,1503,-1.6,1549,-28.4,-1.8,-3.1,-4.6,-5.6,-5.0,0.2,5.0,10.0,-,-,-,-,-4.1,0.1,1504,-4.1,1600,-,-,-,-,-
53578/朔州,小时数据,2019-12-31 15,2019-12-31 14:58:43,000,897.7,1038.4,898.4,1401,897.7,1459,-3.3,-8.6,-6.5,-6.4,1453,-7.0,1411,4.8,-6.4,-25.1,-29.6,0.5,14,12,1401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21200,23869,22957,19038,1409,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,"(03,02,)03,02,05,.",-,-,-,101,1.1,111,1.8,116,1.7,100,2.2,1426,153,3.7,1453,159,4.3,159,4.3,2.6,5.3,1404,2.4,1455,-28.4,0.5,-2.9,-5.2,-6.4,-5.0,0.2,5.0,10.0,-,-,-,-,-0.9,1.0,1404,-1.5,1420,-,-,-,-,-
53578/朔州,小时数据,2019-12-31 14,2019-12-31 14:01:43,000,898.4,1039.6,899.6,1301,898.3,1356,-3.9,-7.7,-7.0,-7.0,1400,-8.0,1301,4.0,-7.0,-25.1,-31.7,0.4,12,12,1345,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,20700,18922,21860,17832,1315,0.0,0.0,0.0,0.0,0.0,-,-,0,0,0,360,"(03,02,)03,02,05,.",-,0,-,153,1.2,132,1.8,179,2.1,168,2.1,1354,159,4.3,1354,159,4.3,159,4.3,5.4,6.2,1351,4.4,1310,-28.4,1.5,-3.6,-6.4,-7.6,-4.9,0.2,5.0,10.0,-,-,-,-,0.4,1.2,1332,-1.1,1310,-,-,-,-,-
53578/朔州,小时数据,2019-12-31 13,2019-12-31 12:58:54,000,899.6,1040.9,900.9,1201,899.6,1252,-3.6,-6.5,-8.1,-8.1,1300,-9.9,1203,3.7,-8.1,-25.1,-30.2,0.5,15,14,1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19000,20375,19417,17493,1201,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,"(03,02,)03,02,05,.",-,-,-,156,1.4,166,1.2,179,2.5,92,1.6,1233,139,3.0,1232,139,3.0,3,3.4,5.4,5.6,1259,2.1,1203,-28.4,0.2,-5.5,-8.1,-9.1,-4.9,0.2,5.0,10.0,-,-,-,-,1.0,1.0,1300,-2.3,1217,-,-,-,-,-
