区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53759/石楼,小时数据,2024-12-30 07,2024-12-30 07:00:42,000,896.0,1030.6,-6.4,1.7,44,11770,0.0,-,1,1.3,9,1.5,-15.7,-9.7,-,-,11600
53759/石楼,小时数据,2024-12-30 06,2024-12-30 06:00:43,000,895.5,1029.7,-6.1,1.7,43,12019,0.0,-,9,2.3,14,2.6,-14.9,-7.3,-,-,12000
53759/石楼,小时数据,2024-12-30 05,2024-12-30 05:00:41,000,895.3,1029.2,-6.0,1.6,41,11960,0.0,-,15,1.9,10,1.9,-16.2,-9.2,-,-,11500
53759/石楼,小时数据,2024-12-30 04,2024-12-30 04:00:44,000,895.3,1029.2,-7.2,1.6,45,11513,0.0,-,30,1.7,32,1.7,-16.6,-13.1,-,-,11500
53759/石楼,小时数据,2024-12-30 03,2024-12-30 03:00:40,000,895.5,1029.7,-8.4,1.5,46,11521,0.0,-,9,0.4,266,0.7,-16.2,-11.6,-,-,11300
53759/石楼,小时数据,2024-12-30 02,2024-12-30 02:00:42,000,895.4,1029.5,-7.5,1.5,43,11554,0.0,-,PPC,0.0,254,0.3,-16.1,-13.7,-,-,11400
53759/石楼,小时数据,2024-12-30 01,2024-12-30 01:00:38,000,895.3,1029.7,-7.8,1.5,44,11353,0.0,-,302,0.3,80,0.5,-15.9,-11.9,-,-,11400
53759/石楼,小时数据,2024-12-30 00,2024-12-30 00:00:37,000,894.9,1029.4,-7.4,1.5,42,11304,0.0,-,PPC,0.2,153,0.6,-15.6,-12.3,-,-,11600
53759/石楼,小时数据,2024-12-29 23,2024-12-29 23:00:41,000,895.3,1030.1,-7.1,1.5,42,10942,0.0,-,147,0.8,171,0.4,-15.5,-12.6,-,-,10900
53759/石楼,小时数据,2024-12-29 22,2024-12-29 22:00:38,000,895.3,1030.5,-6.3,1.5,40,10941,0.0,-,PPC,0.2,183,0.3,-15.0,-12.9,-,-,11200
53759/石楼,小时数据,2024-12-29 21,2024-12-29 21:00:41,000,895.3,1031.1,-4.9,1.4,33,12281,0.0,-,174,0.8,173,1.1,-14.5,-10.7,-,-,11100
53759/石楼,小时数据,2024-12-29 20,2024-12-29 20:00:43,000,894.7,1030.4,-4.3,1.5,34,11380,0.0,-,178,0.3,88,0.4,-13.9,-10.7,-,-,11100
53759/石楼,小时数据,2024-12-29 19,2024-12-29 19:00:40,000,893.9,1029.3,-3.2,1.5,32,12025,0.0,-,PPC,0.0,PPC,0.0,-12.9,-11.6,-,-,11300
53759/石楼,小时数据,2024-12-29 18,2024-12-29 18:00:37,000,893.4,1028.2,-2.3,1.5,29,11350,0.0,-,232,0.6,260,0.6,-11.2,-8.9,-,-,11400
